SKU|Amount
XM0001|10
XM0002|10
XM0003|10
XM0004|10
XM0005|10
XM0006|10
XM0007|10
XM0008|10
XM0009|10
XM0010|10
XM0011|10
XM0012|10
XM0013|10
XM0014|10
XM0015|10
XM0016|10
XM0017|10
XM0018|10
XM0019|10
XM0020|10
XM0021|10
XM0022|10
XM0023|10
XM0024|10
XM0025|10
XM0026|10
S0001|10
S0002|10
S0003|10
S0004|10
S0005|10
S0006|10
S0007|10
S0008|10
S0009|10
S0010|10
S0011|10
S0012|10
S0013|10
S0014|10
S0015|10
S0016|10
S0017|10
S0018|10
S0019|10
S0020|10
S0021|10
S0022|10
S0023|10
S0024|10
S0025|10
S0026|10
S0027|10
S0028|10
S0029|10
S0030|10
S0031|10
S0032|10
S0033|10
S0034|10
S0035|10
S0036|10
S0037|10
S0038|10
S0039|10
S0040|10
S0041|10
S0042|10
S0043|10
S0044|10
S0045|10
S0046|10
S0047|10
S0048|10
S0049|10
S0050|10
S0051|10
P0001|8
P0002|8
P0003|8
P0004|10
P0005|10
P0006|10
P0007|10
P0008|10
P0009|10
P0010|10
P0011|10
P0012|10
P0013|10
P0014|10
P0015|10
P0016|10
P0017|10
P0018|10
P0019|10
P0020|10
P0021|10
P0022|10
P0023|10
P0024|10
N0001|10
N0002|10
N0003|10
N0004|10
N0005|10
N0006|10
N0007|10
N0008|10
N0009|10
N0010|10
N0011|10
N0012|10
A0001|10
A0002|10
A0003|10
A0004|10
A0005|10
A0006|10
A0007|10
A0008|10
A0009|10
A0010|10
A0011|10
A0012|10
A0013|10
A0014|10
A0015|10
A0016|10
A0017|10
A0018|10
A0019|10
A0020|10
A0021|10
A0022|10
A0023|10
A0024|10
A0025|10
A0026|10
A0027|10
A0028|10
A0029|10
A0030|10
A0031|10
A0032|10
A0033|10
A0034|10
A0035|10
A0036|10
A0037|10
A0038|10
A0039|10
A0040|10
A0041|10
A0042|10
A0043|10
A0044|10
A0045|10
A0046|10
A0047|10
A0048|10
A0049|10
A0050|10
A0051|10
A0052|10
A0053|10
A0054|10
A0055|10
A0056|10
A0057|10
A0058|10
A0059|10
A0060|10
A0061|10
A0062|10
A0063|10
A0064|10
A0065|10
A0066|10
A0067|10
A0068|10
A0069|10
A0070|10
A0071|10
A0072|10
A0073|10
A0074|10
A0075|10
A0076|10
A0077|10
A0078|10
A0079|10
A0079|10
A0080|10
A0081|10
A0082|10
A0083|10
