OrderID|SKU|Qty
O001|P0001|20
O001|P0002|20
O001|P0003|20
O002|P0001|10
O002|P0002|10
O002|P0003|10
O003|P0001|30
O003|P0002|30
O003|P0003|30
O004|P0001|30
O004|P0002|20
O005|P0001|2
O006|XM0001|2
O006|XM0002|3
O007|P0001|20
O008|S0006|11
O008|S0011|100
O008|S0001|10
O009|XM0008|111
O009|XM0006|1110
O009|XM0014|1111
O009|XM0001|1110
O009|XM0012|1110
O009|XM0013|111
O010|S0027|100
O010|S0006|10
O010|S0028|1234
O010|S0029|123
O010|S0019|10
O010|S0031|50
O010|S0032|50
O010|S0011|10
O010|S0024|10
O010|S0025|10
O010|S0026|1000
