requestID|SKU|Qty
R001|P0001|20
R001|P0002|20
R001|P0003|20
R002|P0001|10
R002|P0002|10
R002|P0003|10
R003|P0001|22
R003|P0002|22
R003|P0003|22
R004|XM0001|10
R005|P0001|10
R006|XM0001|10
R007|XM0002|5
R007|XM0003|5
R008|XM0001|10
R008|XM0002|10
R009|XM0002|3
R009|XM0003|10
R010|XM0001|10
R010|XM0002|5
R011|XM0001|110
R011|XM0004|10
R012|XM0001|1000
R012|XM0005|10
R013|XM0004|5
R013|XM0005|5
R013|XM0006|5
R014|XM0001|20
R014|XM0004|5
R014|XM0005|5
R014|S0026|5
R014|S0027|5
R014|S0029|5
R014|S0047|8
R014|P0016|5
R014|N0010|5
R015|XM0005|15
